Detail URL,Title,Salary,Contract Type,Job Type,Location
https://www.reed.co.uk/jobs/broker-service-coordinator/52141390?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D61,Broker Service Coordinator,Competitive salary,Permanent,full-time,Manchester Lancashire
https://www.reed.co.uk/jobs/crm-manager-sports-casino/52154676?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D62,CRM Manager - Sports & Casino,"£65,000 per annum",Permanent,full-time,City of London London
https://www.reed.co.uk/jobs/senior-soc-analyst-milton-keynes/52130423?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D63,Senior SOC Analyst - Milton Keynes,"£50,000 - £60,000 per annum",Permanent,full-time,Milton Keynes Buckinghamshire
https://www.reed.co.uk/jobs/projects-migrations-business-analyst-financial-services/52147869?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D64,Projects Migrations Business Analyst - Financial Services,Salary negotiable,Contract,full-time,London South East England
https://www.reed.co.uk/jobs/data-analytics-engineer-amsterdam/52172851?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D65,Data Analytics Engineer - Amsterdam,"€60,000 - €70,000 per annum",Permanent,full-time,London South East England
https://www.reed.co.uk/jobs/head-of-ediscovery/52161562?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D66,Head of eDiscovery,"£90,000 - £150,000 per annum",Permanent,full-time,London South East England
https://www.reed.co.uk/jobs/toc-incident-manager/52124933?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D67,TOC Incident Manager,£500.00 per day,Contract,full-time,Birmingham West Midlands
https://www.reed.co.uk/jobs/senior-product-manager/52121796?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D68,Senior Product Manager,"£60,000 - £100,000 per annum",Permanent,full-time,St. Albans Hertfordshire
https://www.reed.co.uk/jobs/database-team-leader-uk-health-security-agency/52221146?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D69,Database Team Leader - UK Health Security Agency,"£40,701 - £46,231 per annum",Permanent,full-time,Chilton Oxfordshire
https://www.reed.co.uk/jobs/quality-assurance-technician/52255414?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D70,Quality Assurance Technician,Salary not specified,Permanent,full-time,Havant Hampshire
https://www.reed.co.uk/jobs/assistant-management-accountant/52187483?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D71,Assistant Management Accountant,"£28,000 - £35,000 per annum",Permanent,full-time,Witham Essex
https://www.reed.co.uk/jobs/recruitment-consultant/52154613?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D72,Recruitment Consultant,"£22,000 - £40,000 per annum, OTE",Permanent,full-time,Manchester Lancashire
https://www.reed.co.uk/jobs/senior-network-engineer/52256570?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D73,Senior Network Engineer,"£50,000 - £60,000 per annum, inc benefits",Permanent,full-time,Bedford Bedfordshire
https://www.reed.co.uk/jobs/it-finance-analyst/52264291?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D74,IT Finance Analyst,Competitive salary,Permanent,full-time,Hove East Sussex
https://www.reed.co.uk/jobs/lead-data-scientist/52266339?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D75,Lead Data Scientist,"£70,000 - £90,000 per annum",Permanent,full-time,London South East England
https://www.reed.co.uk/jobs/data-scientist/52200769?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D76,Data Scientist,£40.00 - £45.00 per hour,Contract,full-time,London South East England
https://www.reed.co.uk/jobs/senior-exposure-management-analyst/52207549?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D77,Senior Exposure Management Analyst,"£70,000 - £80,000 per annum",Permanent,full-time,London South East England
https://www.reed.co.uk/jobs/sales-support-analyst/52080936?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D78,Sales Support Analyst ,Competitive salary,Permanent,full-time,Nottingham Nottinghamshire
https://www.reed.co.uk/jobs/finance-business-partner/52153396?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D79,Finance Business Partner,"£45,000 - £55,000 per annum",Permanent,full-time,Coventry West Midlands
https://www.reed.co.uk/jobs/service-desk-analyst/52189904?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D80,Service Desk Analyst,"£30,000 - £34,000 per annum",Permanent,full-time,London South East England
https://www.reed.co.uk/jobs/performance-marketing-analyst/52128167?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D81,Performance Marketing Analyst,"£30,000 - £35,000 per annum",Permanent,full-time,Leeds West Yorkshire
https://www.reed.co.uk/jobs/solutions-consultant-pre-sales/52137656?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D82,Solutions Consultant Pre-Sales,"£55,000 - £65,000 per annum",Permanent,full-time,Central London London
https://www.reed.co.uk/jobs/automation-test-engineer/52072053?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D83,Automation Test Engineer,"£50,000 per annum",Permanent,full-time,Bolton Lancashire
https://www.reed.co.uk/jobs/technical-data-migration-specialist/52198882?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D84,Technical Data Migration specialist,Salary negotiable,Contract,full-time,Welwyn Garden City Hertfordshire
https://www.reed.co.uk/jobs/economics-analyst-base-in-beijing/52264997?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D85,Economics Analyst Base in Beijing,Competitive salary,Permanent,full-time,London South East England
https://www.reed.co.uk/jobs/commodities-it-support-analyst/52264431?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D86,Commodities IT Support Analyst,Competitive salary,Permanent,full-time,London South East England
https://www.reed.co.uk/jobs/graduate-legal-analyst/52283168?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D87,Graduate Legal Analyst,Competitive salary,Permanent,full-time,London South East England
https://www.reed.co.uk/jobs/mid-market-district-manager/52193073?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D88,Mid-Market District Manager,Competitive salary,Permanent,full-time,London South East England
https://www.reed.co.uk/jobs/2024-investment-management-off-cycle-internship-emerging-markets-london/52265194?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D89,2024 Investment Management Off-cycle Internship - Emerging Markets London,Competitive salary,Permanent,full-time,London South East England
https://www.reed.co.uk/jobs/business-analyst-payments-project/52266803?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D90,Business Analyst - Payments Project,Competitive salary,Permanent,full-time,London South East England
https://www.reed.co.uk/jobs/credit-portfolio-analyst/52265478?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D91,Credit Portfolio Analyst,Competitive salary,Permanent,full-time,London South East England
https://www.reed.co.uk/jobs/front-office-control-analyst-intern-12-month-placement-2024-2025/52265924?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D92,Front Office Control Analyst - Intern 12-month placement 2024-2025,Competitive salary,Permanent,full-time,London South East England
https://www.reed.co.uk/jobs/capital-modelling-manager/52264080?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D93,Capital Modelling Manager,Competitive salary,Permanent,full-time,London South East England
https://www.reed.co.uk/jobs/product-development-technician/52264698?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D93,Product Development Technician,Competitive salary,Permanent,full-time,Stafford Staffordshire
https://www.reed.co.uk/jobs/project-administrator/52271477?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D93,Project Administrator,Competitive salary,Permanent,full-time,Bradford West Yorkshire
https://www.reed.co.uk/jobs/360-operations-analyst-intern-12-month-placement/52264525?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D93,360 Operations Analyst - Intern 12-month placement,Competitive salary,Permanent,full-time,London South East England
https://www.reed.co.uk/jobs/risk-modelling-manager/52266108?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D93,Risk Modelling Manager,Competitive salary,Permanent,full-time,Stirling Stirlingshire
https://www.reed.co.uk/jobs/lead-actuary/52264424?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D93,Lead Actuary,Competitive salary,Permanent,full-time,London South East England
https://www.reed.co.uk/jobs/trainee-risk-analyst-others-london-united-kingdom/52266801?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D93,"Trainee - Risk Analyst - Others - London, United Kingdom",Competitive salary,Permanent,full-time,London South East England
https://www.reed.co.uk/jobs/business-analyst-x8/52274917?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D93,Business Analyst x8,Competitive salary,Permanent,full-time,Edinburgh Midlothian
https://www.reed.co.uk/jobs/financial-crime-compliance-analyst/52264647?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D93,Financial Crime Compliance Analyst,Competitive salary,Permanent,full-time,London South East England
https://www.reed.co.uk/jobs/senior-finance-analyst-12-month-ftc/52264267?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D93,SENIOR FINANCE ANALYST- 12 Month FTC,Competitive salary,Permanent,full-time,Cardiff South Glamorgan
https://www.reed.co.uk/jobs/financial-reporting-analyst-saudi-arabia-based/52265614?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D93,Financial Reporting Analyst Saudi Arabia based,Competitive salary,Permanent,full-time,London South East England
https://www.reed.co.uk/jobs/risk-data-analyst/52190438?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D93,Risk Data Analyst,Competitive salary,Permanent,full-time,Loughborough Leicestershire
https://www.reed.co.uk/jobs/credit-rejections-analyst/52266077?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D92,Credit Rejections Analyst,Competitive salary,Permanent,full-time,Manchester Lancashire
https://www.reed.co.uk/jobs/business-analyst-japanese-language/52265797?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D92,Business Analyst - Japanese language,Competitive salary,Permanent,full-time,London South East England
https://www.reed.co.uk/jobs/associate-back-end-engineer/52264449?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D92,Associate Back-End Engineer,Competitive salary,Permanent,full-time,Belfast County Antrim
https://www.reed.co.uk/jobs/internal-audit-business-analyst-london/52264908?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D92,Internal Audit Business  Analyst  London,Competitive salary,Permanent,full-time,London South East England
